Название ФС;Название по базе с юрлицом;Метро;Адрес;E-mail;Телефон;Время работы;Информация для изменения;Визитки для салонов;Наклейки на каталог;;;;;;;;;;;;;;;;;;
ТЦ РИО (ТЦ Шоколад);АС_ТЦ РИО (г.Реутов);Реутов;2-й км. МКАД. 3-й этаж;reutov@artis21.ru;8 495 424-99-28;c 10-00 до 22-00;;;;;;;;;;;;;;;;;;;;;
"ТЦ ""Город""_1";А21_ТЦ Город (м. Римская);Римская;г. Москва, ш. Энтузиастов, д.12, к.2. 4 этаж;gorod@artis21.ru;(499) 995 00 59;с 10-00 до 22-00;;;;;;;;;;;;;;;;;;;;;
"ТРЦ ""Family room""";А21_ТЦ FAMILY ROOM;Румянцево;Киевское ш., 23-й км, д. 8,  стр. 1,  1-й этаж;family-room@artis21.ru;(495) 981-08-11;10-00 до 22-00.;;;;;;;;;;;;;;;;;;;;;
Бизнес Парк Румянцево 1;А21_Румянцево (г. Румянцево);Румянцево;"Киевское шоссе, 500 м. от МКАД, ""Мебель Парк"", строение 1, блок А (Подиум №1 - 1-ый подъезд, Вход №1, 3-ий этаж с эскалатора направо, сектор D3)";Rum@artis21.ru;8 495 424-99-29;c 10.00 до 21.00;;;;;;;;;;;;;;;;;;;;;
Бизнес Парк Румянцево 2;А21_Румянцево-2;Румянцево;"Киевское шоссе, 500 м. от МКАД, ""Мебель Парк"", строение 1, корпус А (Подиум №2 - 1-й вход, 2-й этаж, с эскалатора направо, сектор  D5)";rum2@artis21.ru;8 495 424-99-30;c 10.00 до 21.00;;;1000;;;;;;;;;;;;;;;;;;
"ТЦ ""Мебель России""_Рязанский проспект";А21_ТЦ Шатура (Рязанский пр.58/1);Рязанский проспект;Рязанский проспект, д. 58/1;rp58@artis21.ru;(499) 702-49-21;c 10-00 до 21-00;;;;;;;;;;;;;;;;;;;;;
МЦ «Барс Premium»;А21_ТЦ Барс Премиум(г. Рязань);Рязань;Московское шоссе, д. 7, 1-ый этаж;ryazan-bars@artis21.ru;(4912) 51-58-59;c 10-00 до 20-00;;;;;;;;;;;;;;;;;;;;;
МЦ НИТИ  2;А21_ТЦ НИТИ (г. Рязань);Рязань;проезд Яблочкова, 4Б к.1;ryaz.niti@artis21.ru;8 (4912) 51-58-49;"пн.-сб. c 10-00 до 20-00 
вскр. с 10-00 до 18-00";;;;;;;;;;;;;;;;;;;;;
ТРЦ Премьер;А21_ТЦ Премьер (г.Рязань);Рязань;Московское шоссе, д. 21, 3-ий этаж;ryazan@artis21.ru;8 (4912) 51-58-69;с 10-00 до 22-00;;;;;;;;;;;;;;;;;;;;;
"МЦ ""Гранд Каньон""";АХ_ТЦ Гранд Каньон (г. Санкт-Петербург);Санкт-Петербург;ул. Шостаковича, д. 8, корп. 1, литера А, второй этаж, секция 220, 231, 233;spb.grand-kanon@artis21.ru;7(812) 425-44-27;с 11-00 до 21-00;;500;500;;;;;;;;;;;;;;;;;;
"МЦ ""Мебельный Континент""";АХ_ТЦ Мебельный Континент (г. Санкт-Петербург);Санкт-Петербург;ул. Варшавская, д.3, корпус 4, секции 124,125,152 (1 этаж);spb.meb-kontinent@artis21.ru;7(812)241-72-50;с 10-00 до 20-00;;;;;;;;;;;;;;;;;;;;;
МЦ 12 Стульев 1;А21_ТЦ 12 СТУЛЬЕВ (г. Санкт-Петербург);Санкт-Петербург;м. Купчино, Балканская пл., 5, 2 этаж, С1;spb.12@artis21.ru;(812) 500-09-25;10.00 - 22.00;;;;;;;;;;;;;;;;;;;;;
МЦ 12 Стульев 2;А21_ТЦ 12 СТУЛЬЕВ 2 (г.Санкт-Петербург);Санкт-Петербург;м. Купчино, Балканская пл., 5, 1 этаж, С7;spb.12-2@artis21.ru;(812) 449-51-68;10.00 - 22.00;;400;600;;;;;;;;;;;;;;;;;;
МЦ Богатырь;А21_ТЦ Богатырь (г. Санкт-Петербург);Санкт-Петербург;Богатырский проспект 18, корп. 2, 2 этаж, секции №304, 306, 308;spb.bogatyr@artis21.ru;(812) 383-99-52;с 11:00-21:00;;;;;;;;;;;;;;;;;;;;;
МЦ Богатырь 2;Ах_ТЦ Богатырь 2 (г. Санкт-Петербург);Санкт-Петербург;Богатырский проспект 18, корп. 2, лит. А, 1 этаж, секции 35, 37, 97;spb.bogatyr2@artis21.ru;(812) 449-51-95;с 11:00-21:00;;;;;;;;;;;;;;;;;;;;;
МЦ Мебель Сити 1;Ах_ТЦ Мебель Сити (г. Санкт Петербург);Санкт-Петербург;м. Старая Деревня, ул. Мебельная, 1;spb.mebelcity@artis21.ru;8 (812) 677 27 49 ;c 11-00 до 21-00;;;;;;;;;;;;;;;;;;;;;
МЦ Мебель Холл 1 (3 этаж);Ах_ТЦ Мебель Холл (г.Санкт-Петербург);Санкт-Петербург;м. Ладожская, Площадь Карла Фаберже, дом 8 (3 этаж, секции II-304, II-306);spb.mebelholl@artis21.ru;(812) 242-91-05;11.00 - 20.00;;;;;;;;;;;;;;;;;;;;;
МЦ Мебель Холл 2 (2 этаж);Ах_ТЦ Мебель Холл 2 (г.Санкт-Петербург);Санкт-Петербург;м. Ладожская, Площадь Карла Фаберже, дом 8 (2 этаж, секции II-217);spb.mebelholl2@artis21.ru;(812) 241-61-25            WA 8-926-210-7805;11.00 - 20.00;;;;;;;;;;;;;;;;;;;;;
ТК МЕБЕЛЬВУД;Ах_ТЦ Мебельвуд (г. Санкт-Петербург);Санкт-Петербург;м. Проспект Большевиков, Дальневосточный пр., 14, секция 237;spb.mebelwood@artis21.ru;(812) 242-92-40          ;11.00 - 21.00;;;;;;;;;;;;;;;;;;;;;
ТЦ Аквилон 2;АХ_ТЦ Аквилон 2 (г. Санкт-Петербург);Санкт-Петербург;м. Лесная, ул. Новолитовская, 15 B, 2 этаж, секции 47-49;spb.akvilon2@artis21.ru;(812) 425-44-07;c 10:00 до 20:00;;0;0;;;;;;;;;;;;;;;;;;
ТЦ Аквилон 3;АХ_ТЦ Аквилон 3 (г. Санкт-Петербург);Санкт-Петербург;м. Лесная, ул. Новолитовская, 15 B, 1 этаж, секции 25, 27;spb.akvilon@artis21.ru;(812) 449-40-54;c 10:00 до 20:00;;;;;;;;;;;;;;;;;;;;;
"ТЦ ""Сергиев Град""";А21_ТЦ Сергиев Град (г.Сергиев Посад);Сергиев Посад;Вокзальная площадь, д. 1Б, 2 этаж;spasad@artis21.ru;8 (499)968-44-08;с 10-00 до 20-00;;;;;;;;;;;;;;;;;;;;;
ТЦ Торговые ряды;АГ_ТЦ Торговые Ряды (г.Серпухов);Серпухов;"Борисовское шоссе, д.5, 2 этаж, ""Торговые Ряды""";serpuhov@artis21.ru;7(499) 968 44 18;с 10-00 до 21-00;;;;;;;;;;;;;;;;;;;;;
ТЦ Магистраль;АГ_ТЦ Магистраль (г.Солнечногорск);Солнечногорск;ул. Красная 154, ТЦ Магистраль;sol@artis21.ru;8(495)644-34-54;c 10-00 до 20-00;;;;;;;;;;;;;;;;;;;;;
"ТЦ ""Свобода мебель""";А21_ТЦ Мебель России (Свободы) (2);Сходненская;ул. Свободы, д. 29;svoboda29@artis21.ru;(495) 995-89-19;с 10-00 до 20-00;;;;;;;;;;;;;;;;;;;;;
МЦ Галерея Мебели;Ах_ТЦ Галерея Мебели (г.Тверь);Тверь;Проспект Победы, д.14, 3 этаж;tver@artis21.ru;8 (4822) 62-07-88;с 10-00 до 20-00;;;;;;;;;;;;;;;;;;;;;
ТК Тандем;Ах_ТЦ Тандем (г.Тверь);Тверь;Октябрьский пр-т, 70;tver-tandem@artis21.ru;(4822) 620-787;c 10-00 до 20-00;;;;;;;;;;;;;;;;;;;;;
"ТЦ ""Принц плаза""";А21_Теплый Стан;Теплый стан;ул. Профсоюзная, 129А, 5 этаж;ts@artis21.ru;8 495 981-03-87;c 10.00 до 21.00;;;;;;;;;;;;;;;;;;;;;
"МЦ ""Эрмитаж Холл""";АС_ТЦ Эрмитаж Холл (г.Тула);Тула;ул. Галкина, дом 2;tula-ermitazh@artis21.ru;(4872) 25-19-26;с 10.00 до 20.00;;;;;;;;;;;;;;;;;;;;;
МЦ «Парус»;АС_ТЦ Парус (г Тула);Тула;ул. Коминтерна, 24 в (1 этаж);tula-parus@artis21.ru;(4872) 25-19-25;с 10-00 до 19-00;;;;;;;;;;;;;;;;;;;;;
МЦ «Мебель МОЛЛ»;АС_ТЦ Мебель Молл (г Тула);Тула;Осиновая Гора, дом 2 (1 этаж);tula.mebmoll@artis21.ru;(4872) 250-515;с 10-00 до 20-00;;500;500;;;;;;;;;;;;;;;;;;
МЦ Новый Магнат;АС_ТЦ Новый Магнат (г.Тюмень);Тюмень;ул. 30 лет Победы 7 стр.5 (2 этаж);tumen.magnat@artis21.ru;(3452) 215-866;с 10.00 до 20.00;;;;;;;;;;;;;;;;;;;;;
ТК Гранд;Ав_ТЦ Гранд (г.Химки);Химки;ул. Бутакова, д.4, 4 этаж, подиум II.Т.4.41/5;grand@artis21.ru;(499)968-44-36;с 10-00 до 21-00;;;;;;;;;;;;;;;;;;;;;
ТРК МТВ-Центр;Кр_ТЦ МТВ-Центр (г.Чебоксары 1);Чебоксары;Проспект Ивана Яковлева, 4б (4 этаж);cheboksary@artis21.ru;(8352) 36-73-56;"пн.-сб. c 10-00 до 21-00 
вскр. с 10-00 до 20-00";;;;;;;;;;;;;;;;;;;;;
ТРЦ Мега Молл;Кр_ТЦ Мега Молл (г. Чебоксары);Чебоксары;ул. Калинина, 105а (4 этаж);megastroy@artis21.ru;8 (8352) 36-73-16;"пн.-сб. с 10-00 до 21.00 
вс. с 10-00 до 20.00
";;;;;;;;;;;;;;;;;;;;;
"МЦ Комод
";АС_ТЦ Комод (г.Щелково);Щелково;Пролетарский проспект, 22;komod@artis21.ru;8 (499) 968-48-09;с 10-00 до 21-00;;300;300;;;;;;;;;;;;;;;;;;
"ТД ""Щелково-КЭМП""
";АС_ТЦ Щелково КЭМП;Щелково;Пролетарский проспект, 10;kemp@artis21.ru;8 (495) 995-78-60;с 10-00 до 21-00;;300;300;;;;;;;;;;;;;;;;;;
ТЦ Щелково 100;А21_ТЦ Щелково (Щелковское ш. д.100);Щелковская;г. Москва, Щелковское ш, д. 100, ТЦ Щелково (синий вход);sch100@artis21.ru;8 499 702-50-97;c 10.00 до 21.00;;;;;;;;;;;;;;;;;;;;;
ТРЦ Эльград;Кр_ТЦ Эльград (г. Электросталь);Электросталь;проспект Ленина, д.010;elsteel@artis21.ru;(499) 968-44-10;с 10-00 до 22-00;;;;;;;;;;;;;;;;;;;;;
МЦ Тандем;АС_ТЦ Тандем (г.Ярославль);Ярославль;ул. Полушкина роща, д. 9 стр. 13, 14;yar.tandem@artis21.ru;(4852) 280-744;с 10.00 до 20.00;;;;;;;;;;;;;;;;;;;;;
Интернет магазин;А21_Интернет;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
